time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
      43,        4,        2,
      44,        1,        1,
      44,        2,        1,
      44,        3,        4,
      44,        4,        1,
      45,        1,        1,
      45,        2,        1,
      45,        3,        4,
      45,        4,        1,
      46,        1,        1,
      46,        2,        1,
      46,        3,        4,
      46,        4,        1,
      46,        5,        1,
      47,        1,        1,
      47,        2,        1,
      47,        3,        4,
      47,        4,        2,
      48,        1,        1,
      48,        2,        1,
      48,        3,        6,
      49,        1,        1,
      49,        2,        1,
      49,        3,        6,
      49,        4,        1,
      49,        5,        1,
      49,        6,        1,
      49,        7,        1,
      50,        1,        1,
      50,        2,        1,
      50,        3,        4,
      50,        4,        2,
      51,        1,        1,
      51,        2,        1,
      51,        3,        5,
      51,        4,        1,
      51,        5,        1,
      52,        1,        1,
      52,        2,        1,
      52,        3,        4,
      52,        4,        2,
      52,        5,        2,
      53,        1,        1,
      53,        2,        1,
      53,        3,        8,
      54,        1,        1,
      54,        2,        1,
      54,        3,        8,
      55,        1,        1,
      55,        2,        1,
      55,        3,        7,
      56,        1,        1,
      56,        2,        1,
      56,        3,        9,
      57,        1,        1,
      57,        2,        1,
      57,        3,        9,
      58,        1,        1,
      58,        2,        1,
      58,        3,       10,
      59,        1,        1,
      59,        2,        1,
      59,        3,       10,
      60,        1,        1,
      60,        2,        1,
      60,        3,        7,
      60,        4,        1,
      61,        1,        1,
      61,        2,        1,
      61,        3,        5,
      61,        4,        1,
      61,        5,        1,
      62,        1,        1,
      62,        2,        1,
      62,        3,       10,
      63,        1,        1,
      63,        2,        1,
      63,        3,        8,
      63,        4,        8,
      64,        1,        1,
      64,        2,        1,
      64,        3,        5,
      64,        4,        1,
      64,        5,        1,
      64,        6,        2,
      65,        1,        1,
      65,        2,        1,
      65,        3,        9,
      66,        1,        1,
      66,        2,        1,
      66,        3,       10,
      66,        4,        8,
      66,        5,        2,
      67,        1,        1,
      67,        2,        1,
      67,        3,        8,
      68,        1,        1,
      68,        2,        1,
      68,        3,       10,
      68,        4,        2,
      69,        1,        1,
      69,        2,        1,
      69,        3,       10,
      69,        4,        2,
      70,        1,        1,
      70,        2,        1,
      70,        3,        3,
      70,        4,        1,
      71,        1,        1,
      71,        2,        1,
      71,        3,        2,
      71,        4,        2,
      72,        1,        1,
      72,        2,        1,
      72,        3,        1,
      72,        4,        1,
      73,        1,        1,
      73,        2,        1,
      73,        3,        1,
      74,        1,        1,
      74,        2,        1,
      74,        3,        1,
      75,        1,        1,
      75,        2,        1,
      75,        3,        1,
      76,        1,        1,
      76,        2,        1,
      76,        3,        1,
      77,        1,        1,
      77,        2,        1,
      77,        3,        1,
      78,        1,        1,
      78,        2,        1,
      78,        3,        1,
      79,        1,        1,
      79,        2,        1,
      79,        3,        1,
      80,        1,        1,
      80,        2,        1,
      80,        3,        1,
      81,        1,        1,
      81,        2,        1,
      81,        3,        1,
      82,        1,        1,
      82,        2,        1,
      82,        3,        1,
      83,        1,        1,
      83,        2,        1,
      83,        3,        1,
      84,        1,        1,
      84,        2,        1,
      84,        3,        1,
      85,        1,        1,
      85,        2,        1,
      85,        3,        1,
      86,        1,        1,
      86,        2,        1,
      86,        3,        1,
      87,        1,        1,
      87,        2,        1,
      87,        3,        1,
      88,        1,        1,
      88,        2,        1,
      88,        3,        1,
      89,        1,        1,
      89,        2,        1,
      89,        3,        1,
      90,        1,        1,
      90,        2,        1,
      90,        3,        1,
      91,        1,        1,
      91,        2,        1,
      91,        3,        1,
      92,        1,        1,
      92,        2,        1,
      92,        3,        1,
      93,        1,        1,
      93,        2,        1,
      93,        3,        1,
      94,        1,        1,
      94,        2,        1,
      94,        3,        1,
      95,        1,        1,
      95,        2,        1,
      95,        3,        1,
      96,        1,        1,
      96,        2,        1,
      96,        3,        1,
      97,        1,        1,
      97,        2,        1,
      97,        3,        1,
      98,        1,        1,
      98,        2,        1,
      98,        3,        1,
      99,        1,        1,
      99,        2,        1,
      99,        3,        1,
     100,        1,        1,
     100,        2,        1,
     100,        3,        1,
